2023-01-01,1050.50
2023-01-02,980.25
2023-01-03,1120.75
2023-01-04,1200.00
2023-01-05,890.50
2023-01-06,750.25
2023-01-07,1300.00
2023-01-08,1150.75
2023-01-09,1050.00
2023-01-10,1180.50
2023-01-11,1250.25
2023-01-12,920.00
2023-01-13,810.75
2023-01-14,1400.50
2023-01-15,1320.25
2023-01-16,1180.00
2023-01-17,1090.75
2023-01-18,1280.50
2023-01-19,980.25
2023-01-20,870.00
2023-01-21,1450.75
2023-01-22,1380.50
2023-01-23,1220.25
2023-01-24,1150.00
2023-01-25,1310.75
2023-01-26,1020.50
2023-01-27,920.25
2023-01-28,1500.00
2023-01-29,1420.75
2023-01-30,1280.50
2023-02-01,1350.25
2023-02-02,1180.00
2023-02-03,1090.75
2023-02-04,1580.50
2023-02-05,1480.25
2023-02-06,1320.00
2023-02-07,1240.75
2023-02-08,1410.50
2023-02-09,1120.25
2023-02-10,980.00
2023-02-11,1620.75
2023-02-12,1540.50
2023-02-13,1380.25
2023-02-14,1800.00
2023-02-15,1680.75
2023-02-16,1520.50
2023-02-17,1420.25
2023-02-18,1580.00
2023-02-19,1280.75
2023-02-20,1150.50
2023-02-21,1720.25
2023-02-22,1650.00
2023-02-23,1490.75
2023-02-24,1380.50
2023-02-25,1540.25
2023-02-26,1240.00
2023-02-27,1120.75
2023-02-28,1780.50
